function,E,lipschitz_factor,kernel,local_std_label,local_std_value,seed,init_x,safety_violations,no_opt_possible,final_pred_opt,avg_pred_opt,true_optimum,ratio,n_observations,setting,L_base,L_source,violation_class
braninmod_2D,0.05,1.1,matern52,medium,0.05,0,"[-3.019542694091797, 4.611342430114746]",0,False,0.9923591017723083,0.9298259558216218,1.0,0.9923591017723083,31,old_L_factored,0.5,old,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,1,"[6.364474296569824, 4.189663410186768]",0,False,0.9980233907699585,0.9560773641832413,1.0,0.9980233907699585,31,old_L_factored,0.5,old,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,2,"[4.220426559448242, 5.715192794799805]",0,False,0.9763174653053284,0.9764053840791026,1.0,0.9763174653053284,31,old_L_factored,0.5,old,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,3,"[8.317850112915039, 6.765470027923584]",0,False,0.9894233345985413,0.9663154944296806,1.0,0.9894233345985413,31,old_L_factored,0.5,old,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,4,"[3.3945789337158203, 8.386385917663574]",0,False,0.9916796684265137,0.9519582583058265,1.0,0.9916796684265137,31,old_L_factored,0.5,old,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,0,"[-3.019542694091797, 4.611342430114746]",0,False,0.9877276420593262,0.9335292885380406,1.0,0.9877276420593262,31,new_L_factored,0.4456325778841921,new,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,1,"[6.364474296569824, 4.189663410186768]",0,False,0.9983261227607727,0.9744805866672147,1.0,0.9983261227607727,31,new_L_factored,0.4456325778841921,new,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,2,"[4.220426559448242, 5.715192794799805]",0,False,0.9972171783447266,0.9848455729023102,1.0,0.9972171783447266,31,new_L_factored,0.4456325778841921,new,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,3,"[8.317850112915039, 6.765470027923584]",0,False,0.9879982471466064,0.9768084979826405,1.0,0.9879982471466064,31,new_L_factored,0.4456325778841921,new,none
braninmod_2D,0.05,1.1,matern52,medium,0.05,4,"[3.3945789337158203, 8.386385917663574]",0,False,0.9874555468559265,0.9573923387835103,1.0,0.9874555468559265,31,new_L_factored,0.4456325778841921,new,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,0,"[-3.019542694091797, 4.611342430114746]",0,False,0.9893436431884766,0.9537014884333457,1.0,0.9893436431884766,31,old_L_raw,0.5,old,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,1,"[6.364474296569824, 4.189663410186768]",0,False,0.9917172193527222,0.9716974919842135,1.0,0.9917172193527222,31,old_L_raw,0.5,old,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,2,"[4.220426559448242, 5.715192794799805]",0,False,0.9757412672042847,0.9804936070596019,1.0,0.9757412672042847,31,old_L_raw,0.5,old,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,3,"[8.317850112915039, 6.765470027923584]",0,False,0.9986487030982971,0.9806893064129737,1.0,0.9986487030982971,31,old_L_raw,0.5,old,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,4,"[3.3945789337158203, 8.386385917663574]",0,False,0.9896348118782043,0.9615893056315761,1.0,0.9896348118782043,31,old_L_raw,0.5,old,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,0,"[-3.019542694091797, 4.611342430114746]",0,False,0.996500551700592,0.9561427331739857,1.0,0.996500551700592,31,new_L_raw,0.4456325778841921,new,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,1,"[6.364474296569824, 4.189663410186768]",0,False,0.9947121143341064,0.9791152035036395,1.0,0.9947121143341064,31,new_L_raw,0.4456325778841921,new,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,2,"[4.220426559448242, 5.715192794799805]",0,False,0.9985334277153015,0.9849415133076329,1.0,0.9985334277153015,31,new_L_raw,0.4456325778841921,new,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,3,"[8.317850112915039, 6.765470027923584]",0,False,0.9985001683235168,0.9703505789079974,1.0,0.9985001683235168,31,new_L_raw,0.4456325778841921,new,none
braninmod_2D,0.0,1.0,matern52,medium,0.05,4,"[3.3945789337158203, 8.386385917663574]",0,False,0.9974555373191833,0.9774163499955209,1.0,0.9974555373191833,31,new_L_raw,0.4456325778841921,new,none
camel_2D,0.05,1.1,matern52,medium,0.05,0,"[-0.014973640441894531, 0.5364435911178589]",0,False,0.9206613302230835,0.8612493007413803,1.0316,0.8924596066528533,31,old_L_factored,20.0,old,none
camel_2D,0.05,1.1,matern52,medium,0.05,1,"[-0.4114506244659424, 0.5087438821792603]",0,False,0.7702386379241943,0.6057250240156727,1.0316,0.746644666463934,31,old_L_factored,20.0,old,none
camel_2D,0.05,1.1,matern52,medium,0.05,2,"[-0.10215568542480469, 0.4271876811981201]",0,False,0.8020808696746826,0.6988992940995001,1.0316,0.7775115060824763,31,old_L_factored,20.0,old,none
camel_2D,0.05,1.1,matern52,medium,0.05,3,"[-0.16237902641296387, -0.6487895250320435]",0,False,1.0158684253692627,0.9509688365843988,1.0316,0.9847503154025423,31,old_L_factored,20.0,old,none
camel_2D,0.05,1.1,matern52,medium,0.05,4,"[0.04232025146484375, -0.787883996963501]",0,False,1.0055172443389893,1.001324959339634,1.0316,0.9747162120385704,31,old_L_factored,20.0,old,none
camel_2D,0.05,1.1,matern52,medium,0.05,0,"[-0.014973640441894531, 0.5364435911178589]",0,False,0.9007489085197449,0.8549457923058541,1.0316,0.8731571428070423,31,new_L_factored,17.042300314218146,new,none
camel_2D,0.05,1.1,matern52,medium,0.05,1,"[-0.4114506244659424, 0.5087438821792603]",0,False,0.8381059169769287,0.6259310812719406,1.0316,0.81243303313002,31,new_L_factored,17.042300314218146,new,none
camel_2D,0.05,1.1,matern52,medium,0.05,2,"[-0.10215568542480469, 0.4271876811981201]",0,False,0.8077384829521179,0.6880774267258183,1.0316,0.7829958151920491,31,new_L_factored,17.042300314218146,new,none
camel_2D,0.05,1.1,matern52,medium,0.05,3,"[-0.16237902641296387, -0.6487895250320435]",0,False,1.0262898206710815,0.9499736505170022,1.0316,0.9948524822325334,31,new_L_factored,17.042300314218146,new,none
camel_2D,0.05,1.1,matern52,medium,0.05,4,"[0.04232025146484375, -0.787883996963501]",0,False,1.0294286012649536,1.0073485893587912,1.0316,0.9978951156116261,31,new_L_factored,17.042300314218146,new,none
camel_2D,0.0,1.0,matern52,medium,0.05,0,"[-0.014973640441894531, 0.5364435911178589]",0,False,0.9514355063438416,0.8841790518453044,1.0316,0.9222911073515331,31,old_L_raw,20.0,old,none
camel_2D,0.0,1.0,matern52,medium,0.05,1,"[-0.4114506244659424, 0.5087438821792603]",0,False,0.8045311570167542,0.6215247550318318,1.0316,0.7798867361542788,31,old_L_raw,20.0,old,none
camel_2D,0.0,1.0,matern52,medium,0.05,2,"[-0.10215568542480469, 0.4271876811981201]",0,False,0.7218132615089417,0.6758702954938335,1.0316,0.6997026575309632,31,old_L_raw,20.0,old,none
camel_2D,0.0,1.0,matern52,medium,0.05,3,"[-0.16237902641296387, -0.6487895250320435]",0,False,1.0278388261795044,0.9585790730291798,1.0316,0.9963540385609775,31,old_L_raw,20.0,old,none
camel_2D,0.0,1.0,matern52,medium,0.05,4,"[0.04232025146484375, -0.787883996963501]",0,False,1.017938494682312,1.0049974110818678,1.0316,0.9867569742946025,31,old_L_raw,20.0,old,none
camel_2D,0.0,1.0,matern52,medium,0.05,0,"[-0.014973640441894531, 0.5364435911178589]",0,False,0.94297856092453,0.884364995264238,1.0316,0.9140932153204051,31,new_L_raw,17.042300314218146,new,none
camel_2D,0.0,1.0,matern52,medium,0.05,1,"[-0.4114506244659424, 0.5087438821792603]",0,False,0.8990947008132935,0.6468686028834312,1.0316,0.8715536068372367,31,new_L_raw,17.042300314218146,new,none
camel_2D,0.0,1.0,matern52,medium,0.05,2,"[-0.10215568542480469, 0.4271876811981201]",0,False,0.7950432896614075,0.7119101516662105,1.0316,0.7706895014166415,31,new_L_raw,17.042300314218146,new,none
camel_2D,0.0,1.0,matern52,medium,0.05,3,"[-0.16237902641296387, -0.6487895250320435]",0,False,0.9998420476913452,0.957358023812694,1.0316,0.969214858173076,31,new_L_raw,17.042300314218146,new,none
camel_2D,0.0,1.0,matern52,medium,0.05,4,"[0.04232025146484375, -0.787883996963501]",0,False,1.0236059427261353,1.0098320611061589,1.0316,0.9922508169117247,31,new_L_raw,17.042300314218146,new,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,0,"[0.5292251110076904, 0.39557385444641113]",0,False,0.9987673163414001,0.9947058827646317,1.0,0.9987673163414001,31,old_L_factored,5.0,old,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,1,"[1.0305263996124268, 0.11724352836608887]",0,False,0.9977297186851501,0.9484619594389393,1.0,0.9977297186851501,31,old_L_factored,5.0,old,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,2,"[0.45878028869628906, 0.5240514278411865]",0,False,0.9952099323272705,0.9863366734596991,1.0,0.9952099323272705,31,old_L_factored,5.0,old,none
rosenbrock_2D,0.05,1.1,matern52,medium,0.05,3,"[1.08746337890625, 1.9747974872589111]",0,False,0.9926946759223938,0.9507523371327308,1.0,0.9926946759223938,31,old_L_factored,5.0,old,none
