function,setting,L_base,n_runs,mean_ratio,std_ratio,pct_no_violation,mean_safety_violations,pct_no_opt,mean_final_pred_opt,mean_n_observations
braninmod_2D,new_L_factored,0.4456325778841921,20,0.9912761718034744,0.005444005482339593,100.0,0.0,0.0,0.9912761718034744,31.0
braninmod_2D,new_L_raw,0.4456325778841921,20,0.9939386010169983,0.004076990061253536,100.0,0.0,0.0,0.9939386010169983,31.0
braninmod_2D,old_L_factored,0.5,20,0.9910787850618362,0.006418303398883579,100.0,0.0,0.0,0.9910787850618362,31.0
braninmod_2D,old_L_raw,0.5,20,0.9921631008386612,0.0057344416816747035,100.0,0.0,0.0,0.9921631008386612,31.0
camel_10D,new_L_factored,17.042300314218146,20,0.750505351347718,0.24682498252776114,100.0,0.0,0.0,0.7742213204503059,31.0
camel_10D,new_L_raw,17.042300314218146,20,0.7859364877079013,0.22260234804527504,100.0,0.0,0.0,0.8107720807194709,31.0
camel_10D,old_L_factored,15.0,20,0.7720305604232564,0.24661917499154223,100.0,0.0,0.0,0.7964267261326313,31.0
camel_10D,old_L_raw,15.0,20,0.8109159992965166,0.18689608062208238,100.0,0.0,0.0,0.8365409448742867,31.0
camel_2D,new_L_factored,17.042300314218146,20,0.9084731461743875,0.07984087018377199,100.0,0.0,0.0,0.9371808975934982,31.0
camel_2D,new_L_raw,17.042300314218146,20,0.9224114635509315,0.0711169779811033,100.0,0.0,0.0,0.951559665799141,31.0
camel_2D,old_L_factored,20.0,20,0.8869818958860813,0.093200699638493,100.0,0.0,0.0,0.9150105237960815,31.0
camel_2D,old_L_raw,20.0,20,0.9042862838855681,0.08851682194434882,100.0,0.0,0.0,0.9328617304563522,31.0
gaussian_10D,new_L_factored,1.7155277699214138,20,0.7546490758657456,0.07744661666812883,100.0,0.0,0.0,0.7546490758657456,31.0
gaussian_10D,new_L_raw,1.7155277699214138,20,0.7166688084602356,0.07734398724130474,100.0,0.0,0.0,0.7166688084602356,31.0
gaussian_10D,old_L_factored,8.0,20,0.3987215876579285,0.08941233059010596,100.0,0.0,0.0,0.3987215876579285,31.0
gaussian_10D,old_L_raw,8.0,20,0.4358143776655197,0.12337228837358574,100.0,0.0,0.0,0.4358143776655197,31.0
hartmann_6D,new_L_factored,8.94177025318627,20,0.7743860393762588,0.08532825367063664,100.0,0.0,0.0,0.7743860393762588,31.0
hartmann_6D,new_L_raw,8.94177025318627,20,0.7971426993608475,0.07918759898898997,100.0,0.0,0.0,0.7971426993608475,31.0
hartmann_6D,old_L_factored,10.0,20,0.7764771223068238,0.08104201866359424,100.0,0.0,0.0,0.7764771223068238,31.0
hartmann_6D,old_L_raw,10.0,20,0.7920351326465607,0.07911610233677228,100.0,0.0,0.0,0.7920351326465607,31.0
rosenbrock_2D,new_L_factored,13.763089123529726,20,0.923782017827034,0.08757135617244423,100.0,0.0,0.0,0.923782017827034,31.0
rosenbrock_2D,new_L_raw,13.763089123529726,20,0.940589526295662,0.07069615530301436,100.0,0.0,0.0,0.940589526295662,31.0
rosenbrock_2D,old_L_factored,5.0,20,0.9898255437612533,0.00840927893337912,100.0,0.0,0.0,0.9898255437612533,31.0
rosenbrock_2D,old_L_raw,5.0,20,0.9880627304315567,0.008612353460155656,100.0,0.0,0.0,0.9880627304315567,31.0
rosenbrock_4D,new_L_factored,3.2775618987289925,20,0.9619233012199402,0.029577994409285487,100.0,0.0,0.0,0.9619233012199402,31.0
rosenbrock_4D,new_L_raw,3.2775618987289925,20,0.9696968555450439,0.028965301096878997,100.0,0.0,0.0,0.9696968555450439,31.0
rosenbrock_4D,old_L_factored,3.0,20,0.96629139482975,0.026746498223390328,100.0,0.0,0.0,0.96629139482975,31.0
rosenbrock_4D,old_L_raw,3.0,20,0.9675938934087753,0.026646641084676848,100.0,0.0,0.0,0.9675938934087753,31.0
sphere_2D,new_L_factored,1.0,20,0.9820211470127106,0.0087911038287807,100.0,0.0,0.0,0.9820211470127106,31.0
sphere_2D,new_L_raw,1.0,20,0.9763074219226837,0.01921491914760749,0.0,4.25,0.0,0.9763074219226837,31.0
sphere_2D,old_L_factored,2.0,20,0.9867257952690125,0.00925473712268604,100.0,0.0,0.0,0.9867257952690125,31.0
sphere_2D,old_L_raw,2.0,20,0.978388175368309,0.01899623757720887,100.0,0.0,0.0,0.978388175368309,31.0
sphere_4D,new_L_factored,1.0,20,0.9133685231208801,0.030689006526396275,100.0,0.0,0.0,0.9133685231208801,31.0
sphere_4D,new_L_raw,1.0,20,0.8940802574157715,0.03527659415836811,95.0,0.05,0.0,0.8940802574157715,31.0
sphere_4D,old_L_factored,2.0,20,0.9105968922376633,0.04249778669002238,100.0,0.0,0.0,0.9105968922376633,31.0
sphere_4D,old_L_raw,2.0,20,0.9094095468521118,0.038147382538428226,100.0,0.0,0.0,0.9094095468521118,31.0
sphere_6D,new_L_factored,1.0,20,0.8317461162805557,0.03892339800132797,100.0,0.0,0.0,0.8317461162805557,31.0
sphere_6D,new_L_raw,1.0,20,0.8260308593511582,0.04337787605689826,100.0,0.0,0.0,0.8260308593511582,31.0
sphere_6D,old_L_factored,2.0,20,0.8411819785833359,0.04218160428925877,100.0,0.0,0.0,0.8411819785833359,31.0
sphere_6D,old_L_raw,2.0,20,0.8235309481620788,0.05425183044986916,100.0,0.0,0.0,0.8235309481620788,31.0
