iteration,x,y,pred_opt
0,"[-0.3582608699798584, 0.9020411968231201]",0.4428386390209198,0.45007672905921936
1,"[-0.3829549551010132, 0.8943363428115845]",0.4373214542865753,0.4459347426891327
2,"[-0.34960848093032837, 0.8783606886863708]",0.5592653751373291,0.5540546178817749
3,"[-0.32381415367126465, 0.8932390809059143]",0.5306949019432068,0.5739790797233582
4,"[-0.39413121342658997, 0.9173336625099182]",0.3292676508426666,0.5765469074249268
5,"[-0.29488953948020935, 0.882160484790802]",0.619449257850647,0.6280144453048706
6,"[-0.30121496319770813, 0.9109163284301758]",0.4879622161388397,0.633191704750061
7,"[-0.2617981433868408, 0.8897189497947693]",0.6279304623603821,0.6418673396110535
8,"[-0.3107661008834839, 0.8548764586448669]",0.6793272495269775,0.6855504512786865
9,"[-0.3638988733291626, 0.8493298292160034]",0.6201522350311279,0.6798888444900513
10,"[-0.23339000344276428, 0.8944246768951416]",0.633538007736206,0.6789535284042358
11,"[-0.3971587121486664, 0.8466734290122986]",0.5596211552619934,0.6817693710327148
12,"[-0.2737525403499603, 0.8537321090698242]",0.7314179539680481,0.736098051071167
13,"[-0.20386666059494019, 0.9033476114273071]",0.6314938068389893,0.7292255163192749
14,"[-0.29386335611343384, 0.8250110745429993]",0.7740960121154785,0.7819355726242065
15,"[-0.25222283601760864, 0.8287062048912048]",0.8294270038604736,0.8234579563140869
16,"[-0.17348796129226685, 0.8942556381225586]",0.6764669418334961,0.8145503997802734
17,"[-0.3288019895553589, 0.806841254234314]",0.7649623155593872,0.8170742988586426
18,"[-0.22830894589424133, 0.7998846173286438]",0.8996614813804626,0.9015860557556152
19,"[-0.1359206736087799, 0.9055211544036865]",0.6494491100311279,0.8864313960075378
20,"[-0.18046067655086517, 0.8035974502563477]",0.9261526465415955,0.8983632922172546
21,"[-0.42766305804252625, 0.8498665690422058]",0.49836283922195435,0.9013131856918335
22,"[-0.14638517796993256, 0.792638897895813]",0.964223325252533,0.9646003842353821
23,"[-0.10760707408189774, 0.9026193618774414]",0.6581816077232361,0.9547500014305115
24,"[-0.15957823395729065, 0.8336654305458069]",0.8742844462394714,0.9527773261070251
25,"[-0.1090284213423729, 0.7929830551147461]",0.9754378199577332,0.9537848234176636
26,"[-0.3621274530887604, 0.7984350919723511]",0.7294443845748901,0.9689483046531677
27,"[-0.07189491391181946, 0.8917416334152222]",0.6947380900382996,0.9619263410568237
28,"[-0.06017441302537918, 0.7846896052360535]",0.98469477891922,0.9750397801399231
29,"[-0.22034704685211182, 0.9299430847167969]",0.4825620651245117,0.9816443920135498
30,"[-0.12436529248952866, 0.9401202201843262]",0.46767568588256836,0.9657898545265198
