iteration,x,y,pred_opt
0,"[0.1373058557510376, -0.13327395915985107, -0.15915369987487793, 0.08650350570678711, 0.009666085243225098, 0.11111199855804443, 0.2516821622848511, -0.08652961254119873, -0.3035469055175781, 0.2780592441558838]",0.27611905336380005,0.2756499946117401
1,"[0.09147123992443085, -0.0606532022356987, -0.13244475424289703, 0.07063500583171844, -0.016523707658052444, 0.07667911052703857, 0.26735591888427734, -0.10053016245365143, -0.24856969714164734, 0.30218377709388733]",0.3406757712364197,0.332316517829895
2,"[0.2021626979112625, -0.037847407162189484, -0.0939357653260231, 0.014800913631916046, -0.0035402271896600723, 0.013133659958839417, 0.2824406325817108, -0.11273806542158127, -0.26149410009384155, 0.26315033435821533]",0.3184557855129242,0.34087300300598145
3,"[0.08647152781486511, -0.010525494813919067, -0.1958969235420227, 0.11200079321861267, -0.010786996223032475, 0.1284652203321457, 0.35029521584510803, -0.13499191403388977, -0.19325289130210876, 0.2655697464942932]",0.2649642527103424,0.32628846168518066
4,"[0.09048439562320709, -0.08652082085609436, -0.08183532953262329, 0.08334584534168243, -0.046227991580963135, 0.09450756013393402, 0.21749532222747803, -0.060088805854320526, -0.1322157084941864, 0.3356746435165405]",0.4119779169559479,0.4123695194721222
5,"[0.0964793935418129, -0.09912007302045822, 0.0013119280338287354, 0.2028036266565323, -0.03884745016694069, 0.08353731036186218, 0.26941534876823425, -0.049155496060848236, -0.19954439997673035, 0.38705354928970337]",0.27032986283302307,0.41283804178237915
6,"[0.14498476684093475, -0.18167270720005035, -0.03639789670705795, -0.025630906224250793, -0.09027239680290222, 0.0880487933754921, 0.25477033853530884, 0.0010296180844306946, -0.08033197373151779, 0.3448570966720581]",0.34636858105659485,0.48095500469207764
7,"[0.08922991156578064, -0.0740557387471199, -0.10933112353086472, 0.11381679028272629, -0.15758965909481049, -0.004838880151510239, 0.12760600447654724, -0.008236568421125412, -0.15823200345039368, 0.3199332654476166]",0.43277522921562195,0.42874181270599365
8,"[0.04395969957113266, -0.06774783134460449, -0.02858326956629753, 0.06683521717786789, -0.06559254229068756, 0.03657539561390877, 0.17108352482318878, -0.20378440618515015, -0.13595658540725708, 0.3770482540130615]",0.3729073405265808,0.45148375630378723
9,"[-0.0753863975405693, -0.08454500138759613, -0.1379542350769043, 0.10258657485246658, -0.19826623797416687, 0.006936719175428152, 0.09723982214927673, 0.050419192761182785, -0.19737350940704346, 0.3527652621269226]",0.360013484954834,0.5777789354324341
10,"[0.11623089015483856, -0.05684814229607582, -0.025962375104427338, 0.17531120777130127, -0.17604157328605652, 0.10993661731481552, 0.10609982162714005, -0.005603405646979809, -0.17878618836402893, 0.21719114482402802]",0.4861694276332855,0.48354804515838623
11,"[0.17868758738040924, -0.02996297925710678, -0.18535083532333374, 0.16434550285339355, -0.2628263831138611, -0.08316688239574432, 0.12107037007808685, -0.020576834678649902, -0.11105143278837204, 0.35917145013809204]",0.2757004201412201,0.5412301421165466
12,"[0.008867517113685608, -0.07972068339586258, 0.051718734204769135, 0.20625460147857666, -0.2231178879737854, 0.15634018182754517, 0.16910506784915924, -0.11149556934833527, -0.16953124105930328, 0.10551109164953232]",0.4392447769641876,0.5251174569129944
13,"[0.1366564780473709, -0.18351781368255615, -0.003910727798938751, 0.20988057553768158, -0.2878010869026184, 0.23979505896568298, 0.06460809707641602, 0.009359091520309448, -0.17300768196582794, 0.2777773141860962]",0.24367627501487732,0.667540431022644
14,"[0.05774100124835968, 0.081450916826725, -0.023948660120368004, 0.12601101398468018, -0.25906693935394287, 0.15677767992019653, 0.1333543360233307, 0.09166128933429718, -0.18922960758209229, 0.14717771112918854]",0.4432830214500427,0.5175319314002991
15,"[0.10239870846271515, -0.16107574105262756, 0.0744122713804245, 0.21582195162773132, -0.10333707928657532, 0.08792372047901154, 0.0966106429696083, 0.07203508913516998, -0.11835411190986633, 0.11535708606243134]",0.5491876602172852,0.551465630531311
16,"[-0.03499019518494606, -0.046270061284303665, 0.19112175703048706, 0.1129901185631752, -0.20734602212905884, 0.18523524701595306, 0.24099913239479065, -0.07986060529947281, -0.22596928477287292, 0.12495164573192596]",0.34216082096099854,0.6172919869422913
17,"[0.19272670149803162, -0.16828563809394836, 0.17062541842460632, 0.09047260135412216, -0.1348230540752411, -0.027691088616847992, 0.05445827543735504, 0.024320408701896667, -0.13887187838554382, 0.18598124384880066]",0.4854982793331146,0.6167852878570557
18,"[0.22669219970703125, -0.2349245548248291, 0.05608440563082695, 0.2556956708431244, -0.03583909571170807, 0.1068563312292099, 0.03772743046283722, 0.07774973660707474, -0.06228431314229965, -0.030384983867406845]",0.45071688294410706,0.6293032765388489
19,"[-0.016194771975278854, -0.17608648538589478, 0.15559324622154236, 0.2616863548755646, -0.12645375728607178, 0.022315558046102524, 0.03371493145823479, 0.11855310946702957, -0.2970942258834839, 0.16365009546279907]",0.33413267135620117,0.72950679063797
20,"[0.16611596941947937, -0.16201095283031464, 0.007971666753292084, 0.26047447323799133, -0.10881173610687256, 0.017154747620224953, 0.25669288635253906, 0.1633661836385727, -0.22507032752037048, 0.06629151105880737]",0.32832908630371094,0.7861657738685608
21,"[0.02302592247724533, -0.22704502940177917, 0.051188159734010696, 0.31761473417282104, -0.033860065042972565, -0.025965403765439987, 0.02822413668036461, 0.020700719207525253, 0.02700459212064743, 0.12301262468099594]",0.49368518590927124,0.7199846506118774
22,"[0.3475014865398407, -0.08723727613687515, 0.23384131491184235, 0.07320583611726761, -0.06406308710575104, -0.003031354397535324, 0.0503694973886013, 0.018228501081466675, -0.1641797125339508, 0.27102717757225037]",0.29746973514556885,0.7348638772964478
23,"[0.18596065044403076, -0.2789119482040405, 0.2937869429588318, 0.016623802483081818, -0.1059543713927269, -0.042998701333999634, -0.004695760551840067, 0.013957548886537552, -0.03634324669837952, 0.12028318643569946]",0.40023642778396606,0.724963366985321
24,"[-0.027503136545419693, -0.2015121877193451, -0.03455377742648125, 0.2106075882911682, 0.04536190629005432, 0.007654331624507904, 0.05942373350262642, 0.1279861032962799, 0.13837668299674988, 0.10056270658969879]",0.5663642883300781,0.7556027770042419
25,"[0.050313010811805725, -0.2517331540584564, 0.006265163421630859, 0.4122990071773529, 0.05374087020754814, -0.14702770113945007, -0.0359082855284214, 0.09224379807710648, 0.021327227354049683, 0.04997050017118454]",0.33932098746299744,0.6843686103820801
26,"[-0.1601771116256714, -0.15463659167289734, -0.07212476432323456, 0.2578207850456238, 0.16836021840572357, 0.14352983236312866, 0.1377919316291809, 0.12831194698810577, 0.16689378023147583, 0.06655093282461166]",0.39338624477386475,0.7019718885421753
27,"[0.02050964906811714, -0.15979017317295074, -0.042111605405807495, 0.18122456967830658, 0.15531039237976074, 0.13641956448554993, -0.02185363695025444, 0.1972675770521164, 0.2961055040359497, 0.09828951954841614]",0.3843078911304474,0.6572695970535278
28,"[0.057489488273859024, -0.23411792516708374, -0.08915435522794724, 0.13363513350486755, 0.07111576944589615, -0.031083982437849045, 0.10543827712535858, -0.018789999186992645, 0.26889917254447937, 0.06424915790557861]",0.4986448884010315,0.7205073237419128
29,"[-0.07067330926656723, -0.37507590651512146, -0.10303236544132233, 0.20995160937309265, 0.01450104359537363, -0.03542092442512512, -0.09123372286558151, 0.0664362758398056, 0.11302726715803146, 0.04207689315080643]",0.3922828733921051,0.6881308555603027
30,"[0.017752356827259064, -0.28271281719207764, -0.07387176156044006, 0.2703773081302643, -0.04873177036643028, -0.04788699746131897, 0.08137363195419312, 0.24139618873596191, 0.31920886039733887, 0.11175663769245148]",0.2559337615966797,0.8302605748176575
