iteration,x,y,pred_opt
0,"[0.212471604347229, 0.37321436405181885, 0.22990000247955322, 0.31948548555374146, 0.39627164602279663, 0.7116429209709167]",0.6425579190254211,0.6372022032737732
1,"[0.20712710916996002, 0.3844086825847626, 0.2331562042236328, 0.3388000726699829, 0.4067951440811157, 0.7057591080665588]",0.6041353940963745,0.6392323970794678
2,"[0.2128855139017105, 0.36082518100738525, 0.2584206461906433, 0.3367467522621155, 0.40412411093711853, 0.7038307189941406]",0.6328370571136475,0.6524302959442139
3,"[0.20552445948123932, 0.3975697159767151, 0.24469563364982605, 0.3170108497142792, 0.37526512145996094, 0.7142625451087952]",0.647010862827301,0.6614159345626831
4,"[0.2264195829629898, 0.36444810032844543, 0.21839530766010284, 0.3343409299850464, 0.396045058965683, 0.7402711510658264]",0.6092220544815063,0.6524291038513184
5,"[0.2148042768239975, 0.3845171630382538, 0.24798475205898285, 0.3105714023113251, 0.4237420856952667, 0.7238090634346008]",0.5826549530029297,0.658669650554657
6,"[0.17926368117332458, 0.3632263243198395, 0.23121853172779083, 0.3233111500740051, 0.39959263801574707, 0.7255309820175171]",0.63714998960495,0.6412099003791809
7,"[0.22160474956035614, 0.3482498228549957, 0.262635737657547, 0.33642295002937317, 0.4102129340171814, 0.6735096573829651]",0.653288722038269,0.655195415019989
8,"[0.21054567396640778, 0.40901440382003784, 0.2545277178287506, 0.30639469623565674, 0.3726281225681305, 0.7478432655334473]",0.6311096549034119,0.6722469925880432
9,"[0.22656622529029846, 0.36414477229118347, 0.20794884860515594, 0.3515302836894989, 0.3763329088687897, 0.7585736513137817]",0.6184191107749939,0.6617036461830139
10,"[0.20134134590625763, 0.35017266869544983, 0.28204530477523804, 0.35234981775283813, 0.41491395235061646, 0.6807582974433899]",0.6364624500274658,0.6737042665481567
11,"[0.23157626390457153, 0.3331991136074066, 0.2889759838581085, 0.33101004362106323, 0.4015885591506958, 0.683118999004364]",0.703850507736206,0.6973965167999268
12,"[0.2026621252298355, 0.38873371481895447, 0.2669304311275482, 0.325108140707016, 0.3605591356754303, 0.7491192817687988]",0.6553571224212646,0.7041410207748413
13,"[0.22548910975456238, 0.32892635464668274, 0.2625369131565094, 0.32146531343460083, 0.4320763051509857, 0.6648736000061035]",0.6161114573478699,0.7051916718482971
14,"[0.18923282623291016, 0.4176192879676819, 0.24603231251239777, 0.29191866517066956, 0.36240312457084656, 0.7150989770889282]",0.6496559381484985,0.7091118693351746
15,"[0.24648478627204895, 0.3576255142688751, 0.30475082993507385, 0.32748666405677795, 0.41854986548423767, 0.6807641983032227]",0.6475358605384827,0.7055272459983826
16,"[0.18441039323806763, 0.34602484107017517, 0.29892635345458984, 0.3340207636356354, 0.432328462600708, 0.6718399524688721]",0.6276738047599792,0.7125349044799805
17,"[0.2366930991411209, 0.32356712222099304, 0.3022752106189728, 0.35385099053382874, 0.4075571298599243, 0.6667637228965759]",0.6736721992492676,0.7251120209693909
18,"[0.2064637839794159, 0.3851372003555298, 0.2520429193973541, 0.33103495836257935, 0.3424428105354309, 0.7776463031768799]",0.6513106822967529,0.702396035194397
19,"[0.230861634016037, 0.33809778094291687, 0.21882420778274536, 0.3669606149196625, 0.37974321842193604, 0.7603985667228699]",0.6205164790153503,0.7161037921905518
20,"[0.23259249329566956, 0.39235150814056396, 0.2028605341911316, 0.35040417313575745, 0.38177183270454407, 0.7772136330604553]",0.5541122555732727,0.7090631127357483
21,"[0.23531968891620636, 0.3149339258670807, 0.33226168155670166, 0.3550325334072113, 0.4032268822193146, 0.6845042109489441]",0.7114267945289612,0.7104120850563049
22,"[0.18842771649360657, 0.38119757175445557, 0.26051098108291626, 0.3103952705860138, 0.3223022520542145, 0.781785249710083]",0.6746572256088257,0.703751266002655
23,"[0.2398556023836136, 0.37225550413131714, 0.19013112783432007, 0.3713417053222656, 0.3674583435058594, 0.7513882517814636]",0.5993620753288269,0.7068555355072021
24,"[0.2566748559474945, 0.38879817724227905, 0.2987003028392792, 0.3203484117984772, 0.4056156575679779, 0.6693788766860962]",0.639289915561676,0.7291494011878967
25,"[0.26121169328689575, 0.33073851466178894, 0.20617274940013885, 0.3720182776451111, 0.3809677064418793, 0.7682794332504272]",0.6058619022369385,0.7277506589889526
26,"[0.19367842376232147, 0.40645354986190796, 0.2539484202861786, 0.28155505657196045, 0.3369564414024353, 0.7047762274742126]",0.6988784074783325,0.7231730222702026
27,"[0.20293067395687103, 0.35606884956359863, 0.2797762155532837, 0.32012543082237244, 0.31608885526657104, 0.7773962020874023]",0.7036058902740479,0.729904294013977
28,"[0.2669751048088074, 0.40679967403411865, 0.3106957674026489, 0.30991607904434204, 0.3959367275238037, 0.6912373900413513]",0.6417639851570129,0.7173974514007568
29,"[0.26691487431526184, 0.30926814675331116, 0.3381866216659546, 0.3565780222415924, 0.4038017988204956, 0.698527455329895]",0.705288827419281,0.7121655941009521
30,"[0.1865975260734558, 0.33376485109329224, 0.3207364082336426, 0.34942612051963806, 0.45076799392700195, 0.6609013676643372]",0.5811710357666016,0.7286608815193176
