iteration,x,y,pred_opt
0,"[-0.8138787746429443, 1.0552074909210205]",0.9455810189247131,0.9375998973846436
1,"[-0.8620620369911194, 1.0387258529663086]",0.9619407057762146,0.9498181939125061
2,"[-0.8597968816757202, 1.0982956886291504]",0.9424439072608948,0.9483973979949951
3,"[-0.7729129195213318, 1.0128611326217651]",0.9371958374977112,0.9497846364974976
4,"[-0.7767446041107178, 1.097495198249817]",0.9011680483818054,0.9500318169593811
5,"[-0.8908454179763794, 0.9871489405632019]",0.9817391633987427,0.9704310894012451
6,"[-0.9130129218101501, 1.1088076829910278]",0.9636379480361938,0.9702476263046265
7,"[-0.7840002775192261, 1.150201439857483]",0.8882416486740112,0.9698423147201538
8,"[-0.8349336385726929, 0.9623300433158875]",0.9648513197898865,0.9642789959907532
9,"[-0.9277999997138977, 0.9419742822647095]",0.9791930317878723,0.9821840524673462
10,"[-0.7144978642463684, 1.009789228439331]",0.9078312516212463,0.9826041460037231
11,"[-0.9679871201515198, 1.110822081565857]",0.9735026359558105,0.9807595610618591
12,"[-0.9046999216079712, 0.8900740742683411]",0.9776615500450134,0.9835225343704224
13,"[-0.914061427116394, 1.1674339771270752]",0.9463829398155212,0.9834397435188293
14,"[-0.659223198890686, 1.0158439874649048]",0.8876903653144836,0.9831980466842651
15,"[-0.800739049911499, 0.9178546071052551]",0.9558358788490295,0.9828315377235413
16,"[-0.9742851853370667, 0.9323821067810059]",0.9928817749023438,0.9871969819068909
17,"[-0.8898615837097168, 0.8327299356460571]",0.986625075340271,0.9700894355773926
18,"[-0.9151626229286194, 1.2238426208496094]",0.9372122883796692,0.9871469140052795
19,"[-0.6079204678535461, 1.002010464668274]",0.8561292290687561,0.9860602021217346
20,"[-1.0258023738861084, 0.9185768365859985]",0.9894351959228516,0.9866066575050354
21,"[-0.8379746079444885, 0.8005574941635132]",0.9796925783157349,0.9860023856163025
22,"[-0.9697492718696594, 1.2231934070587158]",0.9563153386116028,0.9851800799369812
23,"[-0.5740715265274048, 0.9617968797683716]",0.8572645783424377,0.9857102632522583
24,"[-1.0058376789093018, 0.8645914793014526]",0.9826626181602478,0.9839165210723877
25,"[-0.8680093288421631, 0.7508465647697449]",0.9822172522544861,0.983843207359314
26,"[-0.8681055307388306, 1.2540827989578247]",0.9074885845184326,0.9828319549560547
27,"[-0.9808757901191711, 1.0521377325057983]",0.9893355965614319,0.9832677245140076
28,"[-1.0821506977081299, 0.9428614974021912]",0.968017578125,0.9880260229110718
29,"[-1.0312087535858154, 0.8111538290977478]",0.9705531597137451,0.9875307083129883
30,"[-1.0181666612625122, 1.2008447647094727]",0.976688027381897,0.987710177898407
