run,seed,safety_violation,no_opt_possible,beta,function_id
0,0,0,False,2,0
1,1,0,False,2,0
2,2,0,False,2,0
3,3,0,False,2,0
4,4,0,False,2,0
5,5,0,False,2,0
6,6,0,False,2,0
7,7,0,False,2,0
8,8,0,False,2,0
9,9,0,False,2,0
10,0,0,False,2,1
11,1,0,False,2,1
12,2,0,False,2,1
13,3,0,False,2,1
14,4,0,False,2,1
15,5,0,False,2,1
16,6,0,False,2,1
17,7,0,False,2,1
18,8,0,False,2,1
19,9,0,False,2,1
20,0,0,False,2,2
21,1,0,False,2,2
22,2,0,False,2,2
23,3,0,False,2,2
24,4,0,False,2,2
25,5,0,False,2,2
26,6,0,False,2,2
27,7,0,False,2,2
28,8,0,False,2,2
29,9,0,False,2,2
30,0,0,False,2,3
31,1,0,False,2,3
32,2,0,False,2,3
33,3,0,False,2,3
34,4,0,False,2,3
35,5,0,False,2,3
36,6,0,False,2,3
37,7,0,False,2,3
38,8,0,False,2,3
39,9,0,False,2,3
40,0,0,False,2,4
41,1,0,False,2,4
42,2,0,False,2,4
43,3,0,False,2,4
44,4,0,False,2,4
45,5,0,False,2,4
46,6,0,False,2,4
47,7,0,False,2,4
48,8,0,False,2,4
49,9,0,False,2,4
50,0,0,False,2,5
51,1,0,False,2,5
52,2,0,False,2,5
53,3,0,False,2,5
54,4,0,False,2,5
55,5,0,False,2,5
56,6,0,False,2,5
57,7,0,False,2,5
58,8,0,False,2,5
59,9,0,True,2,5
60,0,0,False,2,6
61,1,0,False,2,6
62,2,0,False,2,6
63,3,0,False,2,6
64,4,0,False,2,6
65,5,0,False,2,6
66,6,0,False,2,6
67,7,0,False,2,6
68,8,0,False,2,6
69,9,0,False,2,6
70,0,0,False,2,7
71,1,0,False,2,7
72,2,0,False,2,7
73,3,0,False,2,7
74,4,0,False,2,7
75,5,0,False,2,7
76,6,0,False,2,7
77,7,0,False,2,7
78,8,0,False,2,7
79,9,0,False,2,7
80,0,0,False,2,8
81,1,0,False,2,8
82,2,0,False,2,8
83,3,0,False,2,8
84,4,0,False,2,8
85,5,0,False,2,8
86,6,0,False,2,8
87,7,0,False,2,8
88,8,0,False,2,8
89,9,0,False,2,8
90,0,0,False,2,9
91,1,0,False,2,9
92,2,0,False,2,9
93,3,0,False,2,9
94,4,0,False,2,9
95,5,0,False,2,9
96,6,0,False,2,9
97,7,0,False,2,9
98,8,0,False,2,9
99,9,0,False,2,9
