,seed,safety_violation,no_opt_possible,beta,function_id
0,0,7,False,2,0
1,1,5,False,2,0
2,2,6,False,2,0
3,3,6,False,2,0
4,4,2,False,2,0
5,5,6,False,2,0
6,6,6,False,2,0
7,7,7,False,2,0
8,8,6,False,2,0
9,9,6,False,2,0
10,0,1,False,2,1
11,1,1,False,2,1
12,2,1,False,2,1
13,3,1,False,2,1
14,4,0,False,2,1
15,5,1,False,2,1
16,6,1,False,2,1
17,7,1,False,2,1
18,8,0,False,2,1
19,9,1,False,2,1
20,0,1,False,2,2
21,1,1,False,2,2
22,2,1,False,2,2
23,3,2,False,2,2
24,4,1,False,2,2
25,5,1,False,2,2
26,6,1,False,2,2
27,7,1,False,2,2
28,8,1,False,2,2
29,9,2,False,2,2
30,0,1,False,2,3
31,1,1,False,2,3
32,2,1,False,2,3
33,3,1,False,2,3
34,4,1,False,2,3
35,5,0,False,2,3
36,6,1,False,2,3
37,7,1,False,2,3
38,8,1,False,2,3
39,9,1,False,2,3
40,0,1,False,2,4
41,1,2,False,2,4
42,2,1,False,2,4
43,3,1,False,2,4
44,4,1,False,2,4
45,5,1,False,2,4
46,6,1,False,2,4
47,7,1,False,2,4
48,8,1,False,2,4
49,9,1,False,2,4
50,0,2,False,2,5
51,1,3,False,2,5
52,2,3,False,2,5
53,3,2,False,2,5
54,4,2,False,2,5
55,5,2,False,2,5
56,6,3,False,2,5
57,7,3,False,2,5
58,8,2,False,2,5
59,9,2,False,2,5
60,0,1,False,2,6
61,1,2,False,2,6
62,2,2,False,2,6
63,3,2,False,2,6
64,4,2,False,2,6
65,5,2,False,2,6
66,6,2,False,2,6
67,7,1,False,2,6
68,8,2,False,2,6
69,9,1,False,2,6
70,0,1,False,2,7
71,1,1,False,2,7
72,2,1,False,2,7
73,3,1,False,2,7
74,4,1,False,2,7
75,5,1,False,2,7
76,6,1,False,2,7
77,7,1,False,2,7
78,8,1,False,2,7
79,9,0,False,2,7
80,0,1,False,2,8
81,1,2,False,2,8
82,2,2,False,2,8
83,3,1,False,2,8
84,4,1,False,2,8
85,5,1,False,2,8
86,6,1,False,2,8
87,7,1,False,2,8
88,8,1,False,2,8
89,9,0,False,2,8
90,0,1,False,2,9
91,1,1,False,2,9
92,2,1,False,2,9
93,3,1,False,2,9
94,4,1,False,2,9
95,5,1,False,2,9
96,6,1,False,2,9
97,7,1,False,2,9
98,8,1,False,2,9
99,9,1,False,2,9
