function,type,dim,safe_fraction,max_value,min_value,safety_threshold,lipschitz_constant,optimum,n_samples
braninmod_2D,branin_mod,2,0.8676599860191345,0.9986730813980103,-0.02442779578268528,0.6,0.5,1.0,500000
camel_10D,camel_10D,10,0.20129600167274475,1.0316263437271118,-5.704349994659424,0.0,15.0,1.0316,500000
camel_2D,camel_2D,2,0.20002800226211548,1.0315996408462524,-2.5,0.0,20.0,1.0316,500000
cosine8,cosine8,8,0.23089799284934998,0.9332343339920044,0.18450160324573517,0.708333,0.994652,1.0,500000
dixon_price_7D,dixon_price_7D,7,0.1364459991455078,0.9984264373779297,-10.896062850952148,0.0,5.395136,1.0,500000
forrester_1D,forrester_1D,1,0.5236999988555908,0.3010370135307312,-0.791485607624054,0.0,12.0,0.301037,500000
gaussian_10D,gaussian_10D,10,0.13794200122356415,0.3980781137943268,1.0365172668736974e-14,0.0001,8.0,1.0,500000
griewank_6d,griewank_6d,6,0.2556059956550598,0.9893594980239868,0.09676632285118103,0.75,0.0042,1.0,500000
hartmann_3D,hartmann_3D,3,0.3066200017929077,0.9997760653495789,1.0142121027456596e-05,0.3,10.645417,1.0,500000
hartmann_6D,hartmann_6D,6,0.24424000084400177,0.9584899544715881,7.889446607123318e-08,0.1,10.0,1.0,500000
rastrigin_9D,rastrigin_9D,9,0.6085439920425415,0.9208650588989258,0.3921297490596771,0.65,0.427996,1.0,500000
rosenbrock_2D,rosenbrock2d,2,0.6777999997138977,0.9999998807907104,-7.339699745178223,0.0,5.0,1.0,500000
rosenbrock_4D,rosenbrock4d,4,0.5498939752578735,0.9998717308044434,-2.1739277839660645,0.6,3.0,1.0,500000
schwefel_10D,schwefel_10D,10,0.49964600801467896,0.642311155796051,-0.623051106929779,0.0,0.009193,1.0,500000
sphere_2D,sphere2D,2,0.7850599884986877,0.9995930194854736,0.2934154272079468,0.5,2.0,1.0,500000
sphere_4D,sphere4D,4,0.5881580114364624,0.9742089509963989,0.019698381423950195,0.4,2.0,1.0,500000
sphere_6D,sphere6D,6,0.4964280128479004,0.8843564987182617,-0.16386008262634277,0.3,2.0,1.0,500000
styblinski_tang_4D,styblinski_tang_4D,4,0.6549540162086487,0.9982978701591492,-2.7693657875061035,0.0,2.234081,1.0,500000
sum_squares_5D,sum_squares_5D,5,0.8996400237083435,0.9971615076065063,-0.44624659419059753,0.2,0.148324,1.0,500000
trid_10D,trid_10D,10,0.19023199379444122,0.8977678418159485,-5.466357231140137,0.0,0.575383,1.0,500000
