x_next,nearest_anchor,dist_to_nearest_anchor,nearest_anchor_radius,escaped_nearest_ball
"[-1.1563612222671509, 0.04764033854007721]",0,0.03491811826825142,0.03491806611418724,False
"[-1.1863747835159302, 0.0483827143907547]",1,0.030022740364074707,0.030022764578461647,False
"[-1.2127588987350464, 0.04905537888407707]",2,0.02639268897473812,0.02639273926615715,False
"[-1.2347807884216309, 0.04942168667912483]",3,0.022024935111403465,0.022024931386113167,False
"[-1.2530635595321655, 0.049811411648988724]",4,0.018286924809217453,0.0182869341224432,False
"[-1.268373727798462, 0.05021561682224274]",5,0.015315502882003784,0.015315520577132702,False
"[-1.2806137800216675, 0.050400618463754654]",6,0.012241450138390064,0.012241478078067303,False
"[-1.2893948554992676, 0.050527457147836685]",7,0.00878199189901352,0.008782041259109974,False
"[-1.2973054647445679, 0.051294222474098206]",8,0.007947683334350586,0.00794768426567316,False
"[-1.303929090499878, 0.05129186436533928]",9,0.006623626220971346,0.0066236169077456,False
"[-1.3090710639953613, 0.0507722832262516]",10,0.00516815809533,0.005168159492313862,False
"[-1.3130145072937012, 0.051962144672870636]",11,0.00411904277279973,0.0041190036572515965,False
"[-1.3156386613845825, 0.052019622176885605]",12,0.002624783432111144,0.0027003444265574217,False
"[-1.3179336786270142, 0.052401285618543625]",13,0.002326536225154996,0.002326573245227337,False
"[-1.3193296194076538, 0.051996245980262756]",14,0.0014535156078636646,0.001453551696613431,False
"[-1.321035623550415, 0.052621737122535706]",15,0.001817055162973702,0.001817018841393292,False
"[-1.322248935699463, 0.052297111600637436]",16,0.0012559888418763876,0.0012559657916426659,False
"[-1.3236091136932373, 0.052382685244083405]",17,0.0013628671877086163,0.0013628756860271096,False
"[-1.3237303495407104, 0.05238078907132149]",18,0.00012125067587476224,0.00012119200255256146,False
"[-1.3243921995162964, 0.05226454883813858]",19,0.000671980029437691,0.000671953137498349,False
"[-1.3251662254333496, 0.052157212048769]",20,0.0007814328419044614,0.0007814242853783071,False
"[-1.3251736164093018, 0.0522732138633728]",21,0.00011623703176155686,-0.00029838227783329785,True
"[-1.325435757637024, 0.05221131816506386]",22,0.00026934940251521766,0.00027650027186609805,False
"[-1.325449824333191, 0.05228661745786667]",23,7.660192932235077e-05,5.334393790690228e-06,True
"[-1.3254461288452148, 0.0522262305021286]",23,1.816424264688976e-05,5.334393790690228e-06,True
"[-1.3254387378692627, 0.05221087858080864]",23,3.012477236552513e-06,5.334393790690228e-06,False
"[-1.3256498575210571, 0.052179861813783646]",25,0.00020893881446681917,-2.9662758606718853e-05,True
"[-1.3258333206176758, 0.052194226533174515]",27,0.0001840245968196541,0.00018399224791210145,False
"[-1.3263499736785889, 0.05226018652319908]",28,0.0005208465154282749,0.0005208189832046628,False
"[-1.326341986656189, 0.052306074649095535]",29,4.6578024921473116e-05,-1.1055394679715391e-05,True
"[-1.3268170356750488, 0.052428100258111954]",30,0.0004904710222035646,0.0004904590896330774,False
"[-1.3268102407455444, 0.05216005817055702]",31,0.0002681282057892531,-0.00017969483451452106,True
"[-1.3268227577209473, 0.05220882594585419]",32,5.0348491640761495e-05,-0.000773524516262114,True
"[-1.3268284797668457, 0.05236801877617836]",31,6.116168515291065e-05,-0.00017969483451452106,True
"[-1.3268318176269531, 0.05233139917254448]",34,3.677140921354294e-05,-0.0004829282115679234,True
"[-1.3268299102783203, 0.05235546827316284]",34,1.2631765457626898e-05,-0.0004829282115679234,True
"[-1.3268318176269531, 0.05228196457028389]",35,4.94346022605896e-05,-9.676624176790938e-05,True
"[-1.3268319368362427, 0.05228247866034508]",37,5.277304921946779e-07,-0.00017390445282217115,True
"[-1.3268285989761353, 0.052367012947797775]",34,1.012867983263277e-06,-0.0004829282115679234,True
"[-1.3270171880722046, 0.052386846393346786]",39,0.00018962915055453777,0.00018966525385621935,False
"[-1.327014446258545, 0.052329353988170624]",40,5.7557746913516894e-05,-9.867193148238584e-05,True
"[-1.327011227607727, 0.052418407052755356]",40,3.21185689244885e-05,-9.867193148238584e-05,True
"[-1.3270158767700195, 0.05239715427160263]",40,1.0390951501904055e-05,-9.867193148238584e-05,True
"[-1.3270153999328613, 0.05233442783355713]",41,5.1626934691739734e-06,-0.00044446776155382395,True
"[-1.327018141746521, 0.052373938262462616]",40,1.2943312867719214e-05,-9.867193148238584e-05,True
"[-1.3271609544754028, 0.052349042147397995]",45,0.00014496652875095606,0.00014493855996988714,False
"[-1.3271626234054565, 0.052362699061632156]",46,1.3758511158812325e-05,-0.0003101424954365939,True
"[-1.3274301290512085, 0.05231763422489166]",46,0.00027100075385533273,-0.0003101424954365939,True
"[-1.327431321144104, 0.052399758249521255]",48,8.213267574319616e-05,-0.000748072809074074,True
"[-1.327433705329895, 0.052354663610458374]",48,3.7201683880994096e-05,-0.000748072809074074,True
"[-1.327431559562683, 0.052397917956113815]",49,1.855673303907679e-06,-0.0006168134859763086,True
"[-1.3274332284927368, 0.05234404653310776]",50,1.0627780284266919e-05,-2.404612496320624e-05,True
"[-1.327433705329895, 0.052351489663124084]",50,3.1739473342895508e-06,-2.404612496320624e-05,True
"[-1.3274455070495605, 0.05235448107123375]",50,1.1803131201304495e-05,-2.404612496320624e-05,True
"[-1.3274869918823242, 0.05235089734196663]",54,4.163933772360906e-05,4.435619848663919e-05,False
"[-1.3278316259384155, 0.052247803658246994]",55,0.00035972343175671995,0.00035971804754808545,False
"[-1.3280831575393677, 0.05225043743848801]",56,0.00025154539616778493,0.0002515348023734987,False
"[-1.3280830383300781, 0.05225461721420288]",57,4.18147510572453e-06,-0.0005584884202107787,True
